L,P,	Str,	Ilość	Nr na schemacie	Kod producenta	Kod KTM	Typ	Firma	Opis	Funkcja	
41	3	1	N.L.520	P460C07-10/30V	8317.0227	ZELLE	DINEL	-CEL DIRCT	MP2_MASZYNA	TRANSLINE 1228
42	4	1	QF01	GV2M-05	8385.0098	SICHERHEITSSCHALTER		DISJ. DE 0,6 A 1 AMP	MP2_MASZYNA	TRANSLINE 1228
43	4	1	XT5	37395	8300.0022	KLEMMENLEISTE	FOURNET	BORNIER TETRA LEGRAND (4 BORNES 12X4)	MP2_MASZYNA	TRANSLINE 1228
44								 	MP2_MASZYNA	TRANSLINE 1228
45	4	1	TV1		8395.0007	TRANSFORMATOR		TRANSFO. MONO. 400VA 50HZ P:230/400V S:110/220v SELON NFC52-201	MP2_MASZYNA	TRANSLINE 1228
46	4	1	QF02	FANZC4	8385.2039	SICHERHEITSSCHALTER	K.M	DISJONCTEUR UNIPOLAIRE 4 AMPERES NORMES „UL”	MP2_MASZYNA	TRANSLINE 1228
47	4	1	N.L.30	PKZM1	8300.0042	STANGE	KM	MARRES TRI B3/20-PKZM1 LONG:1056MM/63A/380V-415V POUR 20	MP2_MASZYNA	TRANSLINE 1228
48	4	1	QM		8361.0002	SCHALTER		INTERRUPTEUR HPC 63A UL+ RALLONGE+CAPOT+SUPPORTS+POIGNEE	MP2_MASZYNA	TRANSLINE 1228
49	4	1	QM-N.L.41	N6-63 CNA	8361.0002	SCHALTER	K.M	INTERRUPTEUR NORMES „UL”	MP2_MASZYNA	TRANSLINE 1228
50	4	1	QM-N.L.42	H6-NA	8385.2072	HANDGRIFF	KM	POIGNEE GRISE SONDM COMPLETE/DISJONCTEUR N6	MP2_MASZYNA	TRANSLINE 1228
51	4	1	QM-N.L.43	HNZM6	8385.0089	HAUBE	K.M	CAPOT DE BORNES POUR SEC/DISJ NZM6	MP2_MASZYNA	TRANSLINE 1228
52	4	4	QM-N.L.44	PKZM3/NZM6	8385.0119	TRAEGER	DIVERS	SUPPORT  BT 427 POUR DISJ SUVANT FT:ME-02	MP2_MASZYNA	TRANSLINE 1228
53	4	1	HL1	XB2-BV37	8305.0215	SIGNALLAMPE	ISNARD	VOYANT LUMINEUX 110V 50/60HZ 120V INCOLOR TELEMECANIQUE	MP2_MASZYNA	TRANSLINE 1228
54	5	1	SB0		8361.3050	KNOPF		BOUTON COUP DE POING „O” A CLEF 520 TETE ROUGE	MP2_MASZYNA	TRANSLINE 1228
55	5	1	SB0.N.L.511	ZB2 BZ102	8345.0142	KOERPER	TELEMEC	CORPS DIAM22 + 1ELEMENT CONTACT O	MP2_MASZYNA	TRANSLINE 1228
56	5	1	SB0.N.L.512	ZB2BS1414	8345.0175	KNOPFHAUBE	TELEMEC	TETE BCP A CLEF DIAM:40 ROUSE *CLEF N:520	MP2_MASZYNA	TRANSLINE 1228
57	5	1	SB0.N.L.513	1083	6570.0100	SCHEIBE	BRACHET	BDISQUE PVC JAUNE DIAM=50X22,5 AUTOCOLLANT	MP2_MASZYNA	TRANSLINE 1228
58	5	1	SB24		8361.3066	KNOPF		BOUTON POUSSOIR”O”SAILLAN T A ACCROCHAGE+TETE ROUGE +SUPPORT	MP2_MASZYNA	TRANSLINE 1228
59	5	1	SB24.N.L.521	3SB10-00-0MC20	8345.0183	KNOPFHAUBE	SIEMENS	TETE ROUGE DIAM. 22 POUR BP SAILLANT A ACCROCHAGE	MP2_MASZYNA	TRANSLINE 1228
60	5	1	SB24.N.L.522	3SB14-00-0C	8345.0184	BLOCK	SIEMENS	BLOC CONTACT A OUVERTURE POUR B.P. SAILLANT ACCROCH.	MP2_MASZYNA	TRANSLINE 1228
61	5	1	SB24.N.L.523	SB19-02-1AC	8345.0185	TRAEGER	SIEMENS	SUPPORT 3 POUR BP SAILLANT A. ACCR	MP2_MASZYNA	TRANSLINE 1228
62	5	1	SB25		8361.3066	KNOPF		BOUTON POUSSOIR”O”SAILLAN T A ACCROCHAGE+TETE ROUGE +SUPPORT	MP2_MASZYNA	TRANSLINE 1228
63	5	1	SB25-N.L.531	3SB10-00-0MC20	8345.0183	KNOPFHAUBE	SIEMENS	TETE ROUGE DIAM. 22 POUR BP SAILLANT A ACCROCHAGE	MP2_MASZYNA	TRANSLINE 1228
